Timestamp,Transaction Type,Asset,Quantity Transacted,Spot Price Currency,Spot Price at Transaction,Subtotal,Total (inclusive of fees),Fees,Notes
2021-07-21T11:02:48Z,Coinbase Earn,CLV,0.7751938,USD,1.3,1.01,1.01,0,Received 0.7751938 CLV from Coinbase Earn
2021-07-27T15:55:39Z,Convert,CLV,2.31961837,USD,1.16,2.63,2.69,0.06,Converted 2.31961837 CLV to 13.1366674 DOGE
2021-12-01T21:05:57Z,Coinbase Earn,CLV,0.92165898,USD,1.08,1,1,0,Received 0.92165898 CLV from Coinbase Earn
2021-12-01T21:07:06Z,Coinbase Earn,CLV,0.92165898,USD,1.08,1,1,0,Received 0.92165898 CLV from Coinbase Earn
2021-12-24T23:00:56Z,Convert,CLV,1.84331797,USD,0.8,1.45,1.48,0.03,Converted 1.84331797 CLV to 0.00758123 SOL
2021-08-17T14:25:59Z,Coinbase Earn,FET,1.90294957,USD,0.53,1.01,1.01,0,Received 1.90294957 FET from Coinbase Earn
2021-08-17T14:26:31Z,Coinbase Earn,FET,1.90294957,USD,0.53,1.01,1.01,0,Received 1.90294957 FET from Coinbase Earn
2021-08-17T14:27:03Z,Coinbase Earn,FET,1.90439916,USD,0.53,1.01,1.01,0,Received 1.90439916 FET from Coinbase Earn
2021-08-17T14:28:29Z,Convert,FET,5.7102983,USD,0.52,2.96,2.99,0.03,Converted 5.7102983 FET to 9.1884575 DOGE
2021-10-29T09:57:00Z,Coinbase Earn,AUCTION,0.02453988,USD,40.74,1,1,0,Received 0.02453988 AUCTION from Coinbase Earn
2021-10-29T09:57:40Z,Coinbase Earn,AUCTION,0.02453988,USD,40.8,1,1,0,Received 0.02453988 AUCTION from Coinbase Earn
2021-10-29T09:59:30Z,Coinbase Earn,AUCTION,0.0243309,USD,41.05,1,1,0,Received 0.0243309 AUCTION from Coinbase Earn
2021-10-29T10:00:18Z,Convert,AUCTION,0.07341066,USD,40.87,2.92,3,0.08,Converted 0.07341066 AUCTION to 9.95602088 DOGE
2021-12-15T22:14:22Z,Buy,POLS,0.38933236,USD,3.41,1.33,2.64,1.31,Bought 0.38933236 POLS for $2.64 USD
2021-12-16T18:16:35Z,Convert,POLS,0.38933236,USD,3.16,1.2,1.23,0.03,Converted 0.38933236 POLS to 0.00654483 SOL
