unix,low,high,open,close,volume,date,vol_fiat
1645574400,0.1272,0.1357,0.1313,0.1274,134632123.7,2022-02-23,17152132.55938
1645660800,0.1065,0.1278,0.1273,0.1242,691178591.9,2022-02-24,85844381.11398
1645747200,0.1206,0.1285,0.1241,0.1277,248489961.4,2022-02-25,31732168.07078
1645833600,0.1256,0.1306,0.1278,0.1277,184307851.1,2022-02-26,23536112.585470002
1645920000,0.1212,0.1285,0.1278,0.1229,196682283.0,2022-02-27,24172252.5807
1646006400,0.1213,0.1349,0.123,0.1334,262714675.6,2022-02-28,35046137.725039996
1646092800,0.1298,0.1391,0.1334,0.1342,242470988.5,2022-03-01,32539606.656700004
1646179200,0.1306,0.1373,0.1342,0.1332,147586850.3,2022-03-02,19658568.459960002
1646265600,0.1272,0.1339,0.1331,0.1297,116055755.7,2022-03-03,15052431.514290001
1646352000,0.1201,0.1302,0.1296,0.1227,210867698.0,2022-03-04,25873466.544600002
1646438400,0.1208,0.1257,0.1226,0.1251,68049559.3,2022-03-05,8512999.86843
1646524800,0.1193,0.1256,0.1251,0.1207,138284084.9,2022-03-06,16690889.047430001
1646611200,0.1133,0.1227,0.1207,0.1167,170508440.1,2022-03-07,19898334.95967
1646697600,0.1152,0.12,0.1167,0.1171,197257501.1,2022-03-08,23098853.37881
1646784000,0.1164,0.1244,0.1171,0.1216,200593510.3,2022-03-09,24392170.85248
1646870400,0.1147,0.1219,0.1216,0.1168,232382936.6,2022-03-10,27142326.99488
1646956800,0.1138,0.1186,0.1168,0.1154,131346505.8,2022-03-11,15157386.76932
1647043200,0.1146,0.1173,0.1154,0.1149,63496275.4,2022-03-12,7295722.04346
1647129600,0.1099,0.1164,0.1149,0.1115,175257022.9,2022-03-13,19541158.05335
1647216000,0.1103,0.1224,0.1115,0.1139,340330047.8,2022-03-14,38763592.44442
1647302400,0.1101,0.1143,0.1139,0.1126,149856503.9,2022-03-15,16873842.33914
1647388800,0.1121,0.1171,0.1127,0.117,253023392.7,2022-03-16,29603736.9459
1647475200,0.1159,0.1194,0.1171,0.1164,168991788.1,2022-03-17,19670644.13484
1647561600,0.1142,0.1196,0.1164,0.1192,161458340.9,2022-03-18,19245834.23528
1647648000,0.1184,0.1252,0.1192,0.1237,258601352.7,2022-03-19,31988987.32899
1647734400,0.1175,0.1242,0.1237,0.1193,142928241.1,2022-03-20,17051339.16323
1647820800,0.1177,0.1218,0.1193,0.1193,200253477.0,2022-03-21,23890239.8061
1647907200,0.1186,0.1257,0.1192,0.1225,208818661.5,2022-03-22,25580286.03375
1647993600,0.121,0.1321,0.1224,0.1299,418148075.9,2022-03-23,54317435.05940999
1648080000,0.1277,0.1413,0.1299,0.1368,581638240.5,2022-03-24,79568111.3004
1648166400,0.1275,0.1378,0.1369,0.1309,340011290.4,2022-03-25,44507477.91335999
1648252800,0.129,0.1372,0.131,0.1361,241451754.7,2022-03-26,32861583.814669997
1648339200,0.1355,0.1457,0.1361,0.1447,416559820.5,2022-03-27,60276206.02635
1648425600,0.1405,0.1537,0.1447,0.1425,573370925.2,2022-03-28,81705356.841
1648512000,0.1405,0.149,0.1424,0.1444,279840780.6,2022-03-29,40409008.71864001
1648598400,0.1381,0.1456,0.1445,0.1432,245130198.9,2022-03-30,35102644.48248
1648684800,0.136,0.148,0.1431,0.1381,270939753.6,2022-03-31,37416779.972160004
1648771200,0.1321,0.143,0.1381,0.1414,214076362.4,2022-04-01,30270397.64336
1648857600,0.1381,0.1444,0.1414,0.1388,165564720.3,2022-04-02,22980383.177640002
1648944000,0.1362,0.1496,0.1388,0.1465,256976640.0,2022-04-03,37647077.76
1649030400,0.1413,0.1567,0.1466,0.1484,538939904.8,2022-04-04,79978681.87232
1649116800,0.1472,0.1801,0.1485,0.1728,1313659654.3,2022-04-05,227000388.26304
1649203200,0.1412,0.1747,0.1728,0.1434,950534489.7,2022-04-06,136306645.82298002
1649289600,0.1401,0.1483,0.1432,0.146,337126751.5,2022-04-07,49220505.719
1649376000,0.1405,0.1534,0.1459,0.1426,367305926.0,2022-04-08,52377825.0476
1649462400,0.1406,0.1447,0.1424,0.1443,88146768.7,2022-04-09,12719578.723410001
1649548800,0.1436,0.1577,0.1443,0.1482,462203679.3,2022-04-10,68498585.27226
1649635200,0.1329,0.1515,0.1483,0.1342,431989534.1,2022-04-11,57972995.47622001
1649721600,0.1331,0.1445,0.1341,0.1381,473689491.2,2022-04-12,65416518.73472
1649808000,0.1363,0.1434,0.1381,0.14,170179368.3,2022-04-13,23825111.562000003
1649894400,0.1363,0.1477,0.1399,0.1441,419800623.1,2022-04-14,60493269.788710006
1649980800,0.1418,0.1497,0.1442,0.1459,231946320.4,2022-04-15,33840968.14636
1650067200,0.1414,0.1481,0.1459,0.1436,121765751.5,2022-04-16,17485561.915400002
1650153600,0.1384,0.145,0.1436,0.1393,107671672.5,2022-04-17,14998663.97925
1650240000,0.1331,0.1406,0.1393,0.1402,203617324.9,2022-04-18,28547148.95098
1650326400,0.1391,0.1446,0.1401,0.1426,140585999.4,2022-04-19,20047563.51444
1650412800,0.1391,0.1468,0.1426,0.1408,205039527.8,2022-04-20,28869565.514240004
1650499200,0.1341,0.143,0.1407,0.1364,141184860.0,2022-04-21,19257614.904
1650585600,0.1346,0.1382,0.1364,0.1364,89666778.2,2022-04-22,12230548.54648
1650672000,0.1332,0.1368,0.1364,0.134,56742403.4,2022-04-23,7603482.055600001
1650758400,0.131,0.1348,0.134,0.1319,77658148.6,2022-04-24,10243109.800339999
1650844800,0.1226,0.1716,0.1319,0.1581,1368813909.9,2022-04-25,216409479.15519
1650931200,0.1356,0.1667,0.1581,0.1377,1102017282.9,2022-04-26,151747779.85533
1651017600,0.1351,0.146,0.1377,0.1401,366511023.8,2022-04-27,51348194.43438
1651104000,0.1353,0.1433,0.14,0.1374,283412236.4,2022-04-28,38940841.28135999
1651190400,0.1331,0.145,0.1375,0.135,385880566.8,2022-04-29,52093876.51800001
1651276800,0.124,0.1368,0.1349,0.1274,232967033.7,2022-04-30,29680000.09338
1651363200,0.1262,0.1365,0.1275,0.1326,205262494.6,2022-05-01,27217806.78396
1651449600,0.1275,0.134,0.1327,0.1307,146522037.0,2022-05-02,19150430.2359
1651536000,0.1263,0.132,0.1307,0.1294,103396292.2,2022-05-03,13379480.210679999
1651622400,0.1289,0.1363,0.1295,0.136,163335129.4,2022-05-04,22213577.598400004
1651708800,0.1252,0.1377,0.1359,0.1282,263667337.6,2022-05-05,33802152.68032
1651795200,0.1233,0.1299,0.1282,0.1277,162136074.7,2022-05-06,20704776.73919
1651881600,0.1245,0.1323,0.1278,0.1275,178515316.3,2022-05-07,22760702.828250002
1651968000,0.1226,0.1282,0.1273,0.1241,140807955.4,2022-05-08,17474267.26514
1652054400,0.1001,0.1253,0.1241,0.1019,525409592.5,2022-05-09,53539237.47575
1652140800,0.0992,0.1183,0.1019,0.1081,568232888.7,2022-05-10,61425975.268470004
1652227200,0.0694,0.1108,0.1081,0.085,994807593.5,2022-05-11,84558645.4475
1652313600,0.065,0.0896,0.0848,0.0824,1054833258.4,2022-05-12,86918260.49215999
1652400000,0.0818,0.0963,0.0824,0.088,568051823.7,2022-05-13,49988560.4856
1652486400,0.0834,0.0919,0.088,0.0893,221588444.4,2022-05-14,19787848.08492
1652572800,0.0864,0.0932,0.0893,0.0931,167536036.1,2022-05-15,15597604.96091
1652659200,0.0858,0.0931,0.093,0.0879,193358425.1,2022-05-16,16996205.566290002
1652745600,0.0867,0.0913,0.0878,0.0901,215156785.7,2022-05-17,19385626.391569998
1652832000,0.083,0.0909,0.0901,0.0833,286831603.4,2022-05-18,23893072.563219998
1652918400,0.0813,0.0875,0.0832,0.0866,180241818.6,2022-05-19,15608941.490759999
1653004800,0.0824,0.088,0.0865,0.0838,122503453.6,2022-05-20,10265789.41168
1653091200,0.0822,0.0854,0.0837,0.0843,65725157.2,2022-05-21,5540630.75196
1653177600,0.0837,0.0866,0.0843,0.0858,66106459.0,2022-05-22,5671934.1822
1653264000,0.082,0.0884,0.0858,0.0833,149329638.1,2022-05-23,12439158.853729999
1653350400,0.08,0.0843,0.0832,0.0836,131170800.2,2022-05-24,10965878.89672
1653436800,0.082,0.0844,0.0836,0.0829,112971761.6,2022-05-25,9365359.03664
1653523200,0.0751,0.0837,0.0829,0.0778,206878708.5,2022-05-26,16095163.5213
1653609600,0.0759,0.09,0.0777,0.0815,484413036.1,2022-05-27,39479662.442150004
1653696000,0.0808,0.0833,0.0814,0.0818,160819657.7,2022-05-28,13155047.999859998
1653782400,0.0798,0.0833,0.0818,0.0826,103635673.2,2022-05-29,8560306.606320001
1653868800,0.082,0.0885,0.0826,0.088,257502579.6,2022-05-30,22660227.0048
1653955200,0.083,0.0885,0.088,0.0858,261625246.2,2022-05-31,22447446.12396
1654041600,0.0787,0.0894,0.0859,0.081,239663161.4,2022-06-01,19412716.073400002
1654128000,0.0799,0.08309,0.0809,0.08269,120960446.1,2022-06-02,10002219.288009
1654214400,0.0792,0.0829,0.08269,0.08023,227173938.8,2022-06-03,18226165.109924
1654300800,0.07925,0.08246,0.08022,0.08183,336224078.2,2022-06-04,27513216.319105998
1654387200,0.08053,0.08217,0.08183,0.081,216666774.8,2022-06-05,17550008.7588
1654473600,0.08079,0.08468,0.08102,0.08243,449696889.2,2022-06-06,37068514.576756
1654560000,0.07764,0.0825,0.08242,0.0803,415852234.6,2022-06-07,33392934.43838
1654646400,0.0787,0.08157,0.08031,0.07924,238428384.8,2022-06-08,18893065.211552
1654732800,0.07882,0.08102,0.07922,0.07931,159014378.2,2022-06-09,12611430.335042
1654819200,0.07413,0.07969,0.07931,0.07532,215131244.9,2022-06-10,16203685.365868
1654905600,0.06783,0.07644,0.0753,0.06983,406837164.6,2022-06-11,28409439.204018004
1654992000,0.06336,0.0703,0.06987,0.06339,453023242.6,2022-06-12,28717143.348414004
1655078400,0.05221,0.06616,0.0634,0.05417,1016472903.7,2022-06-13,55062337.19342901
1655164800,0.04973,0.05837,0.0541,0.05553,666535320.3,2022-06-14,37012706.336259
1655251200,0.05032,0.06388,0.0555,0.06282,916424549.8,2022-06-15,57569790.218435995
1655337600,0.05413,0.06283,0.06283,0.05514,629937789.3,2022-06-16,34734769.702002
